parameter,initvalue,optvalue,case,rec,param
kdeg(R2),-4.070146997,-3.637800361,case30,R2,kdeg
krec4(R2),-2.501124542,-5.501634301,case30,R2,krec4
k4to11(R2),-3.211746759,-5.692846398,case30,R2,k4to11
krec11(R2),-1,-1.281614581,case30,R2,krec11
kint(N1),-1.927970799,-3.505706231,case30,N1,kint
kdeg(N1),-5.82976763,-5.855425792,case30,N1,kdeg
krec4(N1),-1.833126049,-2.120313606,case30,N1,krec4
k4to11(N1),-2.375243637,-1.000026058,case30,N1,k4to11
krec11(N1),-1.62167479,-2.905109803,case30,N1,krec11
kint(R1),-2.125268926,-1.964610291,case31,R1,kint
kdeg(R1),-3.819530038,-3.642065153,case31,R1,kdeg
krec4(R1),-1.808716699,-3.282837303,case31,R1,krec4
k4to11(R1),-2.353792388,-3.326628848,case31,R1,k4to11
krec11(R1),-1,-1.000008686,case31,R1,krec11
kint(R2),-3.236984033,-3.636463229,case31,R2,kint
kdeg(R2),-4.041512567,-3.627972207,case31,R2,kdeg
krec4(R2),-2.853004243,-5.526440045,case31,R2,krec4
k4to11(R2),-3.627603568,-5.663920691,case31,R2,k4to11
krec11(R2),-2.496250162,-1.107855289,case31,R2,krec11
kint(N1),-2.059115119,-3.350791748,case31,N1,kint
kdeg(N1),-5.025686387,-5.914245756,case31,N1,kdeg
krec4(N1),-1,-1.000204166,case31,N1,krec4
k4to11(N1),-2.087730105,-1.548566668,case31,N1,k4to11
krec11(N1),-1.128146965,-3.515842576,case31,N1,krec11
kint(R1),-1.528825682,-1.783016441,case32,R1,kint
kdeg(R1),-3.155423426,-3.639501256,case32,R1,kdeg
krec4(R1),-2.835676891,-2.94161194,case32,R1,krec4
k4to11(R1),-2.200204714,-3.321845962,case32,R1,k4to11
krec11(R1),-1,-1,case32,R1,krec11
kint(R2),-1.52619199,-3.643114059,case32,R2,kint
kdeg(R2),-3.724504369,-3.631322705,case32,R2,kdeg
krec4(R2),-2.622202167,-6,case32,R2,krec4
k4to11(R2),-2.255730493,-6,case32,R2,k4to11
krec11(R2),-1.091188043,-1.068613331,case32,R2,krec11
kint(N1),-1.644069813,-4.920456993,case32,N1,kint
kdeg(N1),-5.162487317,-6,case32,N1,kdeg
krec4(N1),-2.057431449,-2.148332017,case32,N1,krec4
k4to11(N1),-2.29475226,-2.57601727,case32,N1,k4to11
krec11(N1),-2.185472734,-3.89537634,case32,N1,krec11
kint(R1),-2.162613606,-1.929223537,case33,R1,kint
kdeg(R1),-3.101527133,-3.641779527,case33,R1,kdeg
krec4(R1),-2.136849702,-3.464553967,case33,R1,krec4
k4to11(R1),-1.951558196,-3.124227077,case33,R1,k4to11
krec11(R1),-1,-1.000008686,case33,R1,krec11
kint(R2),-2.680103141,-3.624409537,case33,R2,kint
kdeg(R2),-3.264944308,-3.629098495,case33,R2,kdeg
krec4(R2),-2.92808119,-5.314643477,case33,R2,krec4
k4to11(R2),-3.318469329,-5.384723469,case33,R2,k4to11
krec11(R2),-2.008432827,-1.04231132,case33,R2,krec11
kint(N1),-2.066305232,-3.487782695,case33,N1,kint
kdeg(N1),-5.065986613,-5.95093711,case33,N1,kdeg
krec4(N1),-1,-1.575363335,case33,N1,krec4
k4to11(N1),-1.94161194,-1.027936084,case33,N1,k4to11
krec11(N1),-2.485425686,-2.960347976,case33,N1,krec11
kint(R1),-1.490716811,-1.793578935,case34,R1,kint
kdeg(R1),-2.7294842,-3.636444426,case34,R1,kdeg
krec4(R1),-2.893231335,-3.472795581,case34,R1,krec4
k4to11(R1),-2.426756968,-2.912467024,case34,R1,k4to11
krec11(R1),-1,-1.000056462,case34,R1,krec11
kint(R2),-2.156773453,-3.623824677,case34,R2,kint
kdeg(R2),-4.40794544,-3.640733835,case34,R2,kdeg
krec4(R2),-2.656237025,-5.76275796,case34,R2,krec4
k4to11(R2),-3.449111532,-5.812620307,case34,R2,k4to11
krec11(R2),-1.860089444,-1,case34,R2,krec11
kint(N1),-3.03083579,-3.347453915,case34,N1,kint
kdeg(N1),-6,-5.941763831,case34,N1,kdeg
krec4(N1),-1.375625072,-1.807181743,case34,N1,krec4
k4to11(N1),-1.349478783,-1.011253811,case34,N1,k4to11
krec11(N1),-1,-2.795418824,case34,N1,krec11
kint(R1),-1.153347489,-2.003759847,case35,R1,kint
kdeg(R1),-4.047410953,-3.643324144,case35,R1,kdeg
krec4(R1),-1.77976112,-3.325037872,case35,R1,krec4
k4to11(R1),-2.349741058,-3.392180537,case35,R1,k4to11
krec11(R1),-2.036660861,-1.000026058,case35,R1,krec11
kint(R2),-2.696674322,-3.607443732,case35,R2,kint
kdeg(R2),-4.072455133,-3.638971374,case35,R2,kdeg
krec4(R2),-2.696717524,-5.743787541,case35,R2,krec4
k4to11(R2),-3.706063186,-5.081366895,case35,R2,k4to11
krec11(R2),-2.728623128,-1.283178949,case35,R2,krec11
kint(N1),-2.95939766,-3.477151656,case35,N1,kint
kdeg(N1),-5.989106687,-6,case35,N1,kdeg
krec4(N1),-2.642141352,-1.020610987,case35,N1,krec4
k4to11(N1),-1.71541137,-1.476175523,case35,N1,k4to11
krec11(N1),-1.47058248,-3.538576513,case35,N1,krec11
kint(R1),-2.042536384,-1.732054274,case36,R1,kint
kdeg(R1),-3.039415075,-3.63847992,case36,R1,kdeg
krec4(R1),-1.758080147,-2.895478747,case36,R1,krec4
k4to11(R1),-2.222370216,-3.240483241,case36,R1,k4to11
krec11(R1),-1.706814293,-1,case36,R1,krec11
kint(R2),-2.1807852,-3.643228638,case36,R2,kint
kdeg(R2),-2.958567835,-3.631378456,case36,R2,kdeg
krec4(R2),-2.698362417,-6,case36,R2,krec4
k4to11(R2),-2.87972228,-6,case36,R2,k4to11
krec11(R2),-1.776945587,-1.018575561,case36,R2,krec11
kint(N1),-1.794849791,-4.801590366,case36,N1,kint
kdeg(N1),-4.753279897,-6,case36,N1,kdeg
krec4(N1),-2.182289229,-2.097349959,case36,N1,krec4
k4to11(N1),-2.253466993,-2.729530794,case36,N1,k4to11
krec11(N1),-1.292651285,-4.124741901,case36,N1,krec11
kint(R1),-1.345496175,-1.972446546,case37,R1,kint
kdeg(R1),-4.387279703,-3.642065153,case37,R1,kdeg
krec4(R1),-1.725357305,-3.386464723,case37,R1,krec4
k4to11(R1),-1.997056793,-3.249121494,case37,R1,k4to11
krec11(R1),-1.214805458,-1,case37,R1,krec11
kint(R2),-1.771086594,-3.628211991,case37,R2,kint
kdeg(R2),-2.735559989,-3.628507291,case37,R2,kdeg
krec4(R2),-2.031194952,-5.434341046,case37,R2,krec4
k4to11(R2),-2.976089394,-5.422887512,case37,R2,k4to11
krec11(R2),-1.693853868,-1,case37,R2,krec11
kint(N1),-1.911544955,-3.227333635,case37,N1,kint
kdeg(N1),-5.013626925,-4.46824016,case37,N1,kdeg
krec4(N1),-2.299235728,-1.007888512,case37,N1,krec4
k4to11(N1),-1.32922552,-1.000595391,case37,N1,k4to11
krec11(N1),-1.615825861,-3.022454721,case37,N1,krec11
kint(R1),-2.049090185,-1.963371105,case38,R1,kint
kdeg(R1),-3.982257336,-3.639974911,case38,R1,kdeg
krec4(R1),-3.300691378,-3.711549552,case38,R1,krec4
k4to11(R1),-2.241428716,-3.107721696,case38,R1,k4to11
krec11(R1),-1,-1.001627306,case38,R1,krec11
kint(R2),-2.914281405,-3.625269979,case38,R2,kint
kdeg(R2),-3.496522558,-3.621438588,case38,R2,kdeg
krec4(R2),-2.862645889,-5.733862418,case38,R2,krec4
k4to11(R2),-3.65965505,-4.956952257,case38,R2,k4to11
krec11(R2),-1.466672883,-1.257534109,case38,R2,krec11
kint(N1),-3.124568297,-3.606056461,case38,N1,kint
kdeg(N1),-5.134605803,-5.991825816,case38,N1,kdeg
krec4(N1),-2.346420903,-2.064165373,case38,N1,krec4
k4to11(N1),-2.049002666,-1.012758407,case38,N1,k4to11
krec11(N1),-2.279245501,-2.990251744,case38,N1,krec11
kint(R1),-2.296167166,-2.128129465,case39,R1,kint
kdeg(R1),-4.461476535,-3.644778428,case39,R1,kdeg
krec4(R1),-2.682542594,-3.795771457,case39,R1,krec4
k4to11(R1),-2.138824164,-3.356833657,case39,R1,k4to11
krec11(R1),-1,-1.032073117,case39,R1,krec11
kint(R2),-2.027843464,-3.621021006,case39,R2,kint
kdeg(R2),-2.602912044,-3.640449083,case39,R2,kdeg
krec4(R2),-3.489374572,-5.775337471,case39,R2,krec4
k4to11(R2),-2.370641377,-5.818184985,case39,R2,k4to11
krec11(R2),-1.308485314,-1.050044315,case39,R2,krec11
kint(N1),-3.519346411,-3.531076946,case39,N1,kint
kdeg(N1),-4.616543703,-5.999869731,case39,N1,kdeg
krec4(N1),-1.669484768,-1.866301454,case39,N1,krec4
k4to11(N1),-1.420090705,-1.000125964,case39,N1,k4to11
krec11(N1),-1.628784318,-3.047270503,case39,N1,krec11
kint(R1),-1,-1.754068046,case40,R1,kint
kdeg(R1),-3.150672738,-3.638782287,case40,R1,kdeg
krec4(R1),-2.634081678,-2.996884283,case40,R1,krec4
k4to11(R1),-2.733086578,-3.137218858,case40,R1,k4to11
krec11(R1),-1.634175193,-1.126278428,case40,R1,krec11
kint(R2),-3.311153213,-3.643133153,case40,R2,kint
kdeg(R2),-4.190473953,-3.631322705,case40,R2,kdeg
krec4(R2),-2.76490101,-6,case40,R2,krec4
k4to11(R2),-4.036873559,-5.98505965,case40,R2,k4to11
krec11(R2),-1.009368162,-1.418653473,case40,R2,krec11
kint(N1),-2.121082005,-5.519935538,case40,N1,kint
kdeg(N1),-4.66828934,-5.98075905,case40,N1,kdeg
krec4(N1),-2.59453411,-2.396866458,case40,N1,krec4
k4to11(N1),-2.058364359,-2.64244628,case40,N1,k4to11
krec11(N1),-2.610054658,-3.781779696,case40,N1,krec11
kint(R1),-1.881669126,-2.12395545,case41,R1,kint
kdeg(R1),-3.313515671,-3.6455458,case41,R1,kdeg
krec4(R1),-3.3457368,-3.60922381,case41,R1,krec4
k4to11(R1),-3.32981911,-3.445074947,case41,R1,k4to11
krec11(R1),-1.3214361,-1.04042442,case41,R1,krec11
kint(R2),-2.866684683,-3.598961522,case41,R2,kint
kdeg(R2),-3.490461466,-3.620150821,case41,R2,kdeg
krec4(R2),-3.379000381,-4.798930769,case41,R2,krec4
k4to11(R2),-3.280022725,-5.782516056,case41,R2,k4to11
krec11(R2),-2.387247922,-1.017118469,case41,R2,krec11
kint(N1),-2.436518915,-3.381575329,case41,N1,kint
kdeg(N1),-5.914638056,-5.828010417,case41,N1,kdeg
krec4(N1),-1,-1.002687898,case41,N1,krec4
k4to11(N1),-1.623769887,-1.032138584,case41,N1,k4to11
krec11(N1),-1.275945431,-3.136183634,case41,N1,krec11
kint(R1),-1.136451128,-1.84417831,case42,R1,kint
kdeg(R1),-2.980509837,-3.636895934,case42,R1,kdeg
krec4(R1),-2.780389281,-3.74802129,case42,R1,krec4
k4to11(R1),-1.720880831,-2.912431524,case42,R1,k4to11
krec11(R1),-1.009101985,-1.000091211,case42,R1,krec11
kint(R2),-1.866748588,-3.642579754,case42,R2,kint
kdeg(R2),-4.486715795,-3.630635691,case42,R2,kdeg
krec4(R2),-3.149543695,-5.992679047,case42,R2,krec4
k4to11(R2),-2.967059062,-5.86588667,case42,R2,k4to11
krec11(R2),-1.017651867,-1.037853315,case42,R2,krec11
kint(N1),-3.479437869,-3.349702193,case42,N1,kint
kdeg(N1),-4.323864474,-5.251354654,case42,N1,kdeg
krec4(N1),-1.747802545,-1.985563472,case42,N1,krec4
k4to11(N1),-2.133464564,-1.064976673,case42,N1,k4to11
krec11(N1),-1.773090915,-2.832239734,case42,N1,krec11
kint(R1),-2.265824467,-1.622220364,case43,R1,kint
kdeg(R1),-3.356241451,-3.636952405,case43,R1,kdeg
krec4(R1),-1.710723281,-2.770164633,case43,R1,krec4
k4to11(R1),-2.970210529,-3.142028596,case43,R1,k4to11
krec11(R1),-1.436388409,-1.034708908,case43,R1,krec11
kint(R2),-2.889241991,-3.643305041,case43,R2,kint
kdeg(R2),-3.114791488,-3.631285541,case43,R2,kdeg
krec4(R2),-3.216167857,-6,case43,R2,krec4
k4to11(R2),-2.654391049,-6,case43,R2,k4to11
krec11(R2),-1.423866055,-1.003908816,case43,R2,krec11
kint(N1),-2.690178274,-3.180456064,case43,N1,kint
kdeg(N1),-4.749994972,-5.909706669,case43,N1,kdeg
krec4(N1),-2.40217323,-1.111753092,case43,N1,krec4
k4to11(N1),-1.391163867,-2.353684514,case43,N1,k4to11
krec11(N1),-2.092030006,-4.45459391,case43,N1,krec11
kint(R1),-1,-1.797729702,case44,R1,kint
kdeg(R1),-3.996151878,-3.639614886,case44,R1,kdeg
krec4(R1),-1.708942106,-2.992636346,case44,R1,krec4
k4to11(R1),-1.937493225,-3.279931701,case44,R1,k4to11
krec11(R1),-1,-1.000004343,case44,R1,krec11
kint(R2),-3.443420122,-3.619571665,case44,R2,kint
kdeg(R2),-3.744462174,-3.635430245,case44,R2,kdeg
krec4(R2),-3.338708023,-5.968551138,case44,R2,krec4
k4to11(R2),-2.253000151,-5.287678668,case44,R2,k4to11
krec11(R2),-1.897052032,-1.161661033,case44,R2,krec11
kint(N1),-2.621656616,-3.291604597,case44,N1,kint
kdeg(N1),-5.284222214,-6,case44,N1,kdeg
krec4(N1),-1.571622199,-1.008951224,case44,N1,krec4
k4to11(N1),-1.623185888,-1.911155437,case44,N1,k4to11
krec11(N1),-1,-3.768734352,case44,N1,krec11
kint(R1),-1,-1.662341109,case45,R1,kint
kdeg(R1),-3.337138328,-3.637385598,case45,R1,kdeg
krec4(R1),-1.671273915,-2.850657701,case45,R1,krec4
k4to11(R1),-2.466113602,-3.097186964,case45,R1,k4to11
krec11(R1),-2.284606767,-1.000026058,case45,R1,krec11
kint(R2),-2.612414429,-3.642942246,case45,R2,kint
kdeg(R2),-4.454062315,-3.631359871,case45,R2,kdeg
krec4(R2),-2.955381854,-5.992380225,case45,R2,krec4
k4to11(R2),-3.155367525,-5.969602699,case45,R2,k4to11
krec11(R2),-1.773528985,-1.008441683,case45,R2,krec11
kint(N1),-3.123026267,-3.282612463,case45,N1,kint
kdeg(N1),-5.141486864,-5.99991315,case45,N1,kdeg
krec4(N1),-1.922341451,-1.156213025,case45,N1,krec4
k4to11(N1),-1.699035153,-2.245017507,case45,N1,k4to11
krec11(N1),-2.287923002,-4.23852322,case45,N1,krec11
kint(R1),-2.313640838,-1.583625808,case46,R1,kint
kdeg(R1),-3.996410233,-3.636200055,case46,R1,kdeg
krec4(R1),-3.106044152,-2.726188801,case46,R1,krec4
k4to11(R1),-1.720949352,-3.086795647,case46,R1,k4to11
krec11(R1),-1,-1,case46,R1,krec11
kint(R2),-2.636312824,-3.642465345,case46,R2,kint
kdeg(R2),-3.025686387,-3.631285541,case46,R2,kdeg
krec4(R2),-2.978066834,-5.99161277,case46,R2,krec4
k4to11(R2),-3.064024432,-5.986025823,case46,R2,k4to11
krec11(R2),-2.510168033,-1.122127834,case46,R2,krec11
kint(N1),-3.091804607,-4.624555874,case46,N1,kint
kdeg(N1),-5.390010957,-6,case46,N1,kdeg
krec4(N1),-2.547339717,-2.22562904,case46,N1,krec4
k4to11(N1),-1.00562125,-2.738451662,case46,N1,k4to11
krec11(N1),-1,-3.868862726,case46,N1,krec11
kint(R1),-1.503236356,-1.894251444,case47,R1,kint
kdeg(R1),-2.944048595,-3.638574387,case47,R1,kdeg
krec4(R1),-2.745911353,-3.340997063,case47,R1,krec4
k4to11(R1),-2.974161836,-3.104229495,case47,R1,k4to11
krec11(R1),-1,-1,case47,R1,krec11
kint(R2),-3.000734579,-3.613911445,case47,R2,kint
kdeg(R2),-3.564442287,-3.634661798,case47,R2,kdeg
krec4(R2),-2.953817109,-5.307902511,case47,R2,krec4
k4to11(R2),-2.864899166,-5.328938292,case47,R2,k4to11
krec11(R2),-1.169732199,-1,case47,R2,krec11
kint(N1),-2.704938955,-3.391110424,case47,N1,kint
kdeg(N1),-4.689136826,-4.823185519,case47,N1,kdeg
krec4(N1),-1.79827523,-1.441075536,case47,N1,krec4
k4to11(N1),-1.399735178,-1.010261046,case47,N1,k4to11
krec11(N1),-2.41616669,-3.009581221,case47,N1,krec11
kint(R1),-1,-1.789842062,case48,R1,kint
kdeg(R1),-3.241247025,-3.637875815,case48,R1,kdeg
krec4(R1),-3.189444906,-3.168763901,case48,R1,krec4
k4to11(R1),-1.686153862,-3.047469084,case48,R1,k4to11
krec11(R1),-1,-1.000065149,case48,R1,krec11
kint(R2),-3.34139722,-3.626738494,case48,R2,kint
kdeg(R2),-2.518442721,-3.640430106,case48,R2,kdeg
krec4(R2),-3.414606958,-5.934906011,case48,R2,krec4
k4to11(R2),-3.286669092,-5.999956573,case48,R2,k4to11
krec11(R2),-1.148356462,-1.000943443,case48,R2,krec11
kint(N1),-2.076098301,-3.043524213,case48,N1,kint
kdeg(N1),-4.911970282,-5.974243685,case48,N1,kdeg
krec4(N1),-1.644816764,-1.04222037,case48,N1,krec4
k4to11(N1),-2.018244798,-1.033675198,case48,N1,k4to11
krec11(N1),-1,-2.852849475,case48,N1,krec11
kint(R1),-1.904830649,-2.257950789,case49,R1,kint
kdeg(R1),-3.910801633,-3.643037689,case49,R1,kdeg
krec4(R1),-2.079558377,-3.751168807,case49,R1,krec4
k4to11(R1),-3.357614629,-3.704740864,case49,R1,k4to11
krec11(R1),-1,-1,case49,R1,krec11
kint(R2),-2.672110018,-3.634306148,case49,R2,kint
kdeg(R2),-3.001622947,-3.623550795,case49,R2,kdeg
krec4(R2),-2.32497362,-5.464693218,case49,R2,krec4
k4to11(R2),-3.685732401,-5.489401377,case49,R2,k4to11
krec11(R2),-1,-1.00327386,case49,R2,krec11
kint(N1),-3.161465729,-3.681206495,case49,N1,kint
kdeg(N1),-4.448306085,-5.092954288,case49,N1,kdeg
krec4(N1),-1.452606854,-1.000008686,case49,N1,krec4
k4to11(N1),-1.209299745,-2.01780568,case49,N1,k4to11
krec11(N1),-1.549412212,-4.18064035,case49,N1,krec11
kint(R1),-1,-1.762255246,case50,R1,kint
kdeg(R1),-3.940853281,-3.636312824,case50,R1,kdeg
krec4(R1),-3.270114685,-3.128771601,case50,R1,krec4
k4to11(R1),-3.095403456,-3.022276395,case50,R1,k4to11
krec11(R1),-2.222964872,-1,case50,R1,krec11
kint(R2),-1.933450461,-3.622456992,case50,R2,kint
kdeg(R2),-3.928375701,-3.640392155,case50,R2,kdeg
krec4(R2),-2.054368954,-5.816530854,case50,R2,krec4
k4to11(R2),-2.433480017,-5.736742773,case50,R2,k4to11
krec11(R2),-2.014416364,-1.017538805,case50,R2,krec11
kint(N1),-1.883558302,-3.022441001,case50,N1,kint
kdeg(N1),-4.275200016,-5.948268804,case50,N1,kdeg
krec4(N1),-1,-1,case50,N1,krec4
k4to11(N1),-1,-1.004825665,case50,N1,k4to11
krec11(N1),-1,-2.786934038,case50,N1,krec11
kint(R1),-2.244353781,-2.070499332,case51,R1,kint
kdeg(R1),-3.434081378,-3.642617897,case51,R1,kdeg
krec4(R1),-2.545292307,-3.565271458,case51,R1,krec4
k4to11(R1),-2.262473413,-3.351230286,case51,R1,k4to11
krec11(R1),-1.177740362,-1.001095803,case51,R1,krec11
kint(R2),-2.069494145,-3.616543703,case51,R2,kint
kdeg(R2),-4.458483159,-3.628156645,case51,R2,kdeg
krec4(R2),-2.565000209,-5.489240576,case51,R2,krec4
k4to11(R2),-2.500642887,-5.186178915,case51,R2,k4to11
krec11(R2),-1.876932756,-1.000304113,case51,R2,krec11
kint(N1),-2.470146338,-3.418482691,case51,N1,kint
kdeg(N1),-4.318125878,-5.044889769,case51,N1,kdeg
krec4(N1),-1.555720936,-1.386972583,case51,N1,krec4
k4to11(N1),-1.38327249,-1.000056462,case51,N1,k4to11
krec11(N1),-1.845576027,-3.119277848,case51,N1,krec11
kint(R1),-1,-1.835438971,case52,R1,kint
kdeg(R1),-3.667601941,-3.640240384,case52,R1,kdeg
krec4(R1),-3.54228459,-3.005854487,case52,R1,krec4
k4to11(R1),-3.506667445,-3.396163042,case52,R1,k4to11
krec11(R1),-1.192498797,-1.000112931,case52,R1,krec11
kint(R2),-3.022152981,-3.608376922,case52,R2,kint
kdeg(R2),-4.20246933,-3.619897345,case52,R2,kdeg
krec4(R2),-3.192295887,-4.868285122,case52,R2,krec4
k4to11(R2),-2.629116983,-5.829708941,case52,R2,k4to11
krec11(R2),-1.026424223,-1,case52,R2,krec11
kint(N1),-3.341568829,-3.840583212,case52,N1,kint
kdeg(N1),-4.498502554,-4.802168307,case52,N1,kdeg
krec4(N1),-1.288361462,-1.453938782,case52,N1,krec4
k4to11(N1),-1.598513298,-2.387830946,case52,N1,k4to11
krec11(N1),-2.545810886,-4.373875293,case52,N1,krec11
kint(R1),-1,-1.803492208,case53,R1,kint
kdeg(R1),-4.211047212,-3.638857912,case53,R1,kdeg
krec4(R1),-2.253700601,-3.173627127,case53,R1,krec4
k4to11(R1),-2.227091805,-3.075922397,case53,R1,k4to11
krec11(R1),-1,-1,case53,R1,krec11
kint(R2),-2.632383208,-3.638404361,case53,R2,kint
kdeg(R2),-4.411717086,-3.626536278,case53,R2,kdeg
krec4(R2),-2.825358807,-5.740310577,case53,R2,krec4
k4to11(R2),-4.052291867,-5.655843606,case53,R2,k4to11
krec11(R2),-2.436044535,-1.17804127,case53,R2,krec11
kint(N1),-1.914745109,-3.095879787,case53,N1,kint
kdeg(N1),-5.308635557,-5.49765483,case53,N1,kdeg
krec4(N1),-2.321117585,-1.086790343,case53,N1,krec4
k4to11(N1),-1,-1.025327146,case53,N1,k4to11
krec11(N1),-2.328170194,-2.938622926,case53,N1,krec11
kint(R1),-1.850380658,-2.112985054,case54,R1,kint
kdeg(R1),-3.49011229,-3.645066033,case54,R1,kdeg
krec4(R1),-3.143929997,-3.641227849,case54,R1,krec4
k4to11(R1),-2.934158966,-3.395881994,case54,R1,k4to11
krec11(R1),-1.963730504,-1.005199101,case54,R1,krec11
kint(R2),-2.115153679,-3.589729036,case54,R2,kint
kdeg(R2),-4.335602501,-3.625838439,case54,R2,kdeg
krec4(R2),-2.896778008,-5.878637159,case54,R2,krec4
k4to11(R2),-3.056564845,-4.724504369,case54,R2,k4to11
krec11(R2),-1.825387858,-1.235861244,case54,R2,krec11
kint(N1),-2.86502646,-3.607355798,case54,N1,kint
kdeg(N1),-4.970575636,-4.809472213,case54,N1,kdeg
krec4(N1),-2.383303981,-1.422198101,case54,N1,krec4
k4to11(N1),-1.263603498,-1.000017372,case54,N1,k4to11
krec11(N1),-1,-3.236317495,case54,N1,krec11
kint(R1),-2.138196852,-1.639766439,case55,R1,kint
kdeg(R1),-3.135750049,-3.637178365,case55,R1,kdeg
krec4(R1),-1.699143757,-2.80421101,case55,R1,krec4
k4to11(R1),-3.147014031,-3.116185311,case55,R1,k4to11
krec11(R1),-1.736103669,-1.030374447,case55,R1,krec11
kint(R2),-2.549581519,-3.634886568,case55,R2,kint
kdeg(R2),-4.18170151,-3.627032794,case55,R2,kdeg
krec4(R2),-2.4462019,-5.934607038,case55,R2,krec4
k4to11(R2),-3.219553067,-5.585728772,case55,R2,k4to11
krec11(R2),-1.149604981,-1.000847701,case55,R2,krec11
kint(N1),-3.170664058,-3.22775166,case55,N1,kint
kdeg(N1),-5.922159897,-5.327089755,case55,N1,kdeg
krec4(N1),-1.72092651,-1.119924192,case55,N1,krec4
k4to11(N1),-1.678940371,-2.18726708,case55,N1,k4to11
krec11(N1),-1.867452158,-4.0038168,case55,N1,krec11
kint(R1),-2.020711187,-1.582096718,case56,R1,kint
kdeg(R1),-2.73400363,-3.637178365,case56,R1,kdeg
krec4(R1),-1.727091387,-2.736340265,case56,R1,krec4
k4to11(R1),-3.098454502,-3.08436804,case56,R1,k4to11
krec11(R1),-1.754363971,-1.000091211,case56,R1,krec11
kint(R2),-2.340835199,-3.638498812,case56,R2,kint
kdeg(R2),-4.128362859,-3.629116983,case56,R2,kdeg
krec4(R2),-2.699165481,-5.66903863,case56,R2,krec4
k4to11(R2),-3.74797267,-5.695962098,case56,R2,k4to11
krec11(R2),-1.029699625,-1.006440333,case56,R2,krec11
kint(N1),-2.612681375,-3.181312337,case56,N1,kint
kdeg(N1),-4.330227675,-5.925220118,case56,N1,kdeg
krec4(N1),-1.422312926,-1.113988956,case56,N1,krec4
k4to11(N1),-1.743570918,-2.148625447,case56,N1,k4to11
krec11(N1),-1,-3.980136286,case56,N1,krec11
kint(R1),-2.196829777,-1.320236064,case57,R1,kint
kdeg(R1),-3.662041836,-3.636030955,case57,R1,kdeg
krec4(R1),-2.899009477,-2.340635333,case57,R1,krec4
k4to11(R1),-2.510843386,-3.247206589,case57,R1,k4to11
krec11(R1),-2.189760759,-1,case57,R1,krec11
kint(R2),-2.943857738,-3.643037689,case57,R2,kint
kdeg(R2),-3.474346311,-3.631378456,case57,R2,kdeg
krec4(R2),-2.831443593,-5.999782907,case57,R2,krec4
k4to11(R2),-2.86480372,-5.999826317,case57,R2,k4to11
krec11(R2),-2.178015095,-1.083698739,case57,R2,krec11
kint(N1),-2.679708281,-3.871697683,case57,N1,kint
kdeg(N1),-5.789627966,-5.574645142,case57,N1,kdeg
krec4(N1),-2.113018855,-1.840553127,case57,N1,krec4
k4to11(N1),-2.481630849,-3.09064726,case57,N1,k4to11
krec11(N1),-1.134973056,-4.717513838,case57,N1,krec11
kint(R1),-1.372419098,-1.534587403,case58,R1,kint
kdeg(R1),-4.300396388,-3.626591419,case58,R1,kdeg
krec4(R1),-1.737145655,-3.153347489,case58,R1,krec4
k4to11(R1),-1.940853281,-2.626940804,case58,R1,k4to11
krec11(R1),-1.670297103,-1.132302756,case58,R1,krec11
kint(R2),-3.303433942,-3.641227849,case58,R2,kint
kdeg(R2),-2.809052321,-3.630617138,case58,R2,kdeg
krec4(R2),-3.221646126,-5.873024861,case58,R2,krec4
k4to11(R2),-2.691200896,-5.82139711,case58,R2,k4to11
krec11(R2),-1.079193406,-1.109618109,case58,R2,krec11
kint(N1),-1.894728317,-3.146210559,case58,N1,kint
kdeg(N1),-5.216539513,-5.994862404,case58,N1,kdeg
krec4(N1),-1.335978889,-1.975678558,case58,N1,krec4
k4to11(N1),-1.914352712,-1,case58,N1,k4to11
krec11(N1),-1.35333166,-2.58063913,case58,N1,krec11
kint(R1),-1,-2.072814482,case59,R1,kint
kdeg(R1),-3.503042691,-3.643649022,case59,R1,kdeg
krec4(R1),-3.378439465,-3.697885623,case59,R1,krec4
k4to11(R1),-2.94699843,-3.273549915,case59,R1,k4to11
krec11(R1),-1,-1,case59,R1,krec11
kint(R2),-3.066968505,-3.578609983,case59,R2,kint
kdeg(R2),-4.484589828,-3.627364119,case59,R2,kdeg
krec4(R2),-2.334916434,-4.666794627,case59,R2,krec4
k4to11(R2),-3.293350481,-5.704015299,case59,R2,k4to11
krec11(R2),-1.570780825,-1.000191132,case59,R2,krec11
kint(N1),-2.918616683,-3.573651426,case59,N1,kint
kdeg(N1),-4.410474853,-5.539432888,case59,N1,kdeg
krec4(N1),-2.526615229,-1.69030597,case59,N1,krec4
k4to11(N1),-1,-1,case59,N1,k4to11
krec11(N1),-2.61742468,-3.111253428,case59,N1,krec11
kint(R1),-1,-1.841426444,case60,R1,kint
kdeg(R1),-3.340330952,-3.639993868,case60,R1,kdeg
krec4(R1),-2.924818145,-3.070862179,case60,R1,krec4
k4to11(R1),-1.986657096,-3.278560383,case60,R1,k4to11
krec11(R1),-1,-1,case60,R1,krec11
kint(R2),-2.456776549,-3.597429132,case60,R2,kint
kdeg(R2),-3.371979099,-3.623076476,case60,R2,kdeg
krec4(R2),-2.422037395,-4.998612477,case60,R2,krec4
k4to11(R2),-3.85309713,-5.013098445,case60,R2,k4to11
krec11(R2),-2.178329289,-1.272597024,case60,R2,krec11
