parameter,initvalue,optvalue,case,rec,param
k4to11(N1),-1.624171842,-1.005612451,case7,N1,k4to11
krec11(N1),-1.371580415,-3.07443009,case7,N1,krec11
kint(R1),-1.495692283,-2.001000028,case8,R1,kint
kdeg(R1),-2.783148217,-3.642846824,case8,R1,kdeg
krec4(R1),-3.011369707,-3.638234401,case8,R1,krec4
k4to11(R1),-3.089994933,-3.187755303,case8,R1,k4to11
krec11(R1),-2.043586627,-1.008880295,case8,R1,krec11
kint(R2),-3.404966979,-3.643228638,case8,R2,kint
kdeg(R2),-3.14127036,-3.631359871,case8,R2,kdeg
krec4(R2),-3.160101061,-6,case8,R2,krec4
k4to11(R2),-3.587522652,-6,case8,R2,k4to11
krec11(R2),-1.941308317,-1.004259535,case8,R2,krec11
kint(N1),-3.493603216,-3.602807621,case8,N1,kint
kdeg(N1),-5.109824983,-5.833333117,case8,N1,kdeg
krec4(N1),-2.418744585,-1.735040582,case8,N1,krec4
k4to11(N1),-1.533592115,-1.044360347,case8,N1,k4to11
krec11(N1),-1.280337317,-3.042905358,case8,N1,krec11
kint(R1),-2.364385582,-2.057168809,case9,R1,kint
kdeg(R1),-3.171733337,-3.643285939,case9,R1,kdeg
krec4(R1),-3.007972549,-3.703620046,case9,R1,krec4
k4to11(R1),-1.692739358,-3.251463126,case9,R1,k4to11
krec11(R1),-1,-1,case9,R1,krec11
kint(R2),-2.322895148,-3.632961062,case9,R2,kint
kdeg(R2),-3.303407741,-3.634119082,case9,R2,kdeg
krec4(R2),-3.199207339,-5.606284441,case9,R2,krec4
k4to11(R2),-3.666109588,-5.99753155,case9,R2,k4to11
krec11(R2),-2.616417995,-1.069667463,case9,R2,krec11
kint(N1),-2.844694334,-3.647431614,case9,N1,kint
kdeg(N1),-6,-5.944774616,case9,N1,kdeg
krec4(N1),-1.689646611,-1.751904069,case9,N1,krec4
k4to11(N1),-1.435239277,-1.008167222,case9,N1,k4to11
krec11(N1),-2.435428615,-3.095690274,case9,N1,krec11
kint(R1),-1,-2.027635142,case10,R1,kint
kdeg(R1),-4.152236145,-3.642217564,case10,R1,kdeg
krec4(R1),-2.093110321,-3.685437622,case10,R1,krec4
k4to11(R1),-1.66828934,-3.215461158,case10,R1,k4to11
krec11(R1),-1,-1,case10,R1,krec11
kint(R2),-2.389158919,-3.635899479,case10,R2,kint
kdeg(R2),-3.25365387,-3.632234209,case10,R2,kdeg
krec4(R2),-2.952530425,-5.82457517,case10,R2,krec4
k4to11(R2),-2.357545373,-5.99865577,case10,R2,k4to11
krec11(R2),-1.203869901,-1.077461376,case10,R2,krec11
kint(N1),-3.47920216,-3.608994282,case10,N1,kint
kdeg(N1),-5.158778224,-5.737620112,case10,N1,kdeg
krec4(N1),-1.951053496,-1.737382818,case10,N1,krec4
k4to11(N1),-1.598513298,-1.018041028,case10,N1,k4to11
krec11(N1),-2.315504727,-3.050683195,case10,N1,krec11
