Receptors,surfvalues,wcvalues
R1,100,100
R1 siRNA Rab4a,59.116,95.737
R1 siRNA Rab11a,64.956,93.362
R1 siRNA Rab4a11a,24.072,89.099
R2,100,100
R2 siRNA Rab4a,43.384,72.227
R2 siRNA Rab11a,83.492,89.453
R2 siRNA Rab4a11a,26.876,61.68
N1,100,100
N1 siRNA Rab4a,91.729,98.509
N1 siRNA Rab11a,97.948,98.217
N1 siRNA Rab4a11a,74.842,92.048
