parameter,value,case
krec11(R2),-1.124707175,case11
kint(N1),-3.539102157,case11
kdeg(N1),-5.775208044,case11
krec4(N1),-1.038498225,case11
k4to11(N1),-1.408256643,case11
krec11(N1),-3.536734281,case11
kprod(R1),0.5630537,case11
kprod(R2),0.043990666,case11
kprod(N1),-0.55959474,case11
kint(R1),-2.012445451,case12
kdeg(R1),-3.642961333,case12
krec4(R1),-3.587858781,case12
k4to11(R1),-3.224629882,case12
krec11(R1),-1,case12
kint(R2),-3.639899091,case12
kdeg(R2),-3.630023865,case12
krec4(R2),-5.769474445,case12
k4to11(R2),-5.741793874,case12
krec11(R2),-1.126394613,case12
kint(N1),-3.666230399,case12
kdeg(N1),-5.889107399,case12
krec4(N1),-1.717241979,case12
k4to11(N1),-1.109511914,case12
krec11(N1),-3.100091991,case12
kprod(R1),0.565788807,case12
kprod(R2),0.043833654,case12
kprod(N1),-0.465567727,case12
kint(R1),-2.154877144,case13
kdeg(R1),-3.645910778,case13
krec4(R1),-3.576786904,case13
k4to11(R1),-3.520539864,case13
krec11(R1),-1,case13
kint(R2),-3.642846824,case13
kdeg(R2),-3.631044055,case13
krec4(R2),-6,case13
k4to11(R2),-5.938811495,case13
krec11(R2),-1.186826145,case13
kint(N1),-3.787279846,case13
kdeg(N1),-5.180258703,case13
krec4(N1),-1.163448034,case13
k4to11(N1),-1.86588667,case13
krec11(N1),-4.006762223,case13
kprod(R1),0.555469304,case13
kprod(R2),0.043362278,case13
kprod(N1),-0.572108349,case13
kint(R1),-1.949736277,case14
kdeg(R1),-3.640316263,case14
krec4(R1),-3.618361553,case14
k4to11(R1),-3.110547021,case14
krec11(R1),-1.005572858,case14
kint(R2),-3.642732345,case14
kdeg(R2),-3.631471391,case14
krec4(R2),-6,case14
k4to11(R2),-5.999652703,case14
krec11(R2),-1.104903574,case14
kint(N1),-3.515429701,case14
kdeg(N1),-4.802278478,case14
krec4(N1),-1.771959135,case14
k4to11(N1),-1.001339691,case14
krec11(N1),-2.960546221,case14
kprod(R1),0.57005233,case14
kprod(R2),0.043755127,case14
kprod(N1),-0.41189644,case14
kint(R1),-2.000577996,case15
kdeg(R1),-3.641912796,case15
krec4(R1),-3.41240127,case15
k4to11(R1),-3.306484096,case15
krec11(R1),-1.003921963,case15
kint(R2),-3.642846824,case15
kdeg(R2),-3.631322705,case15
krec4(R2),-6,case15
k4to11(R2),-6,case15
krec11(R2),-1.026899868,case15
kint(N1),-3.275437427,case15
kdeg(N1),-4.86157098,case15
krec4(N1),-1.000030402,case15
k4to11(N1),-1.038355883,case15
krec11(N1),-3.04529449,case15
kprod(R1),0.568037365,case15
kprod(R2),0.04363731,case15
kprod(N1),-0.462004705,case15
kint(R1),-1.916819996,case16
kdeg(R1),-3.638990287,case16
krec4(R1),-3.654351859,case16
k4to11(R1),-3.050229542,case16
krec11(R1),-1.000965206,case16
kint(R2),-3.643133153,case16
