parameter,value,case
krec4(R1),-3.340997063,case47
k4to11(R1),-3.104229495,case47
krec11(R1),-1,case47
kint(R2),-3.613911445,case47
kdeg(R2),-3.634661798,case47
krec4(R2),-5.307902511,case47
k4to11(R2),-5.328938292,case47
krec11(R2),-1,case47
kint(N1),-3.391110424,case47
kdeg(N1),-4.823185519,case47
krec4(N1),-1.441075536,case47
k4to11(N1),-1.010261046,case47
krec11(N1),-3.009581221,case47
kprod(R1),0.554404352,case47
kprod(R2),0.058653742,case47
kprod(N1),-0.37639928,case47
kint(R1),-1.789842062,case48
kdeg(R1),-3.637875815,case48
krec4(R1),-3.168763901,case48
k4to11(R1),-3.047469084,case48
krec11(R1),-1.000065149,case48
kint(R2),-3.626738494,case48
kdeg(R2),-3.640430106,case48
krec4(R2),-5.934906011,case48
k4to11(R2),-5.999956573,case48
krec11(R2),-1.000943443,case48
kint(N1),-3.043524213,case48
kdeg(N1),-5.974243685,case48
krec4(N1),-1.04222037,case48
k4to11(N1),-1.033675198,case48
krec11(N1),-2.852849475,case48
kprod(R1),0.571137936,case48
kprod(R2),0.059374059,case48
kprod(N1),-0.291987239,case48
kint(R1),-2.257950789,case49
kdeg(R1),-3.643037689,case49
krec4(R1),-3.751168807,case49
k4to11(R1),-3.704740864,case49
krec11(R1),-1,case49
kint(R2),-3.634306148,case49
kdeg(R2),-3.623550795,case49
krec4(R2),-5.464693218,case49
k4to11(R2),-5.489401377,case49
krec11(R2),-1.00327386,case49
kint(N1),-3.681206495,case49
kdeg(N1),-5.092954288,case49
krec4(N1),-1.000008686,case49
k4to11(N1),-2.01780568,case49
krec11(N1),-4.18064035,case49
kprod(R1),0.574540541,case49
kprod(R2),0.043872912,case49
kprod(N1),-0.652513862,case49
kint(R1),-1.762255246,case50
kdeg(R1),-3.636312824,case50
krec4(R1),-3.128771601,case50
k4to11(R1),-3.022276395,case50
krec11(R1),-1,case50
kint(R2),-3.622456992,case50
kdeg(R2),-3.640392155,case50
krec4(R2),-5.816530854,case50
k4to11(R2),-5.736742773,case50
krec11(R2),-1.017538805,case50
kint(N1),-3.022441001,case50
kdeg(N1),-5.948268804,case50
krec4(N1),-1,case50
k4to11(N1),-1.004825665,case50
krec11(N1),-2.786934038,case50
kprod(R1),0.572395243,case50
kprod(R2),0.061414778,case50
kprod(N1),-0.279204198,case50
kint(R1),-2.070499332,case51
kdeg(R1),-3.642617897,case51
krec4(R1),-3.565271458,case51
k4to11(R1),-3.351230286,case51
krec11(R1),-1.001095803,case51
kint(R2),-3.616543703,case51
kdeg(R2),-3.628156645,case51
krec4(R2),-5.489240576,case51
k4to11(R2),-5.186178915,case51
krec11(R2),-1.000304113,case51
kint(N1),-3.418482691,case51
kdeg(N1),-5.044889769,case51
krec4(N1),-1.386972583,case51
k4to11(N1),-1.000056462,case51
krec11(N1),-3.119277848,case51
kprod(R1),0.566602457,case51
kprod(R2),0.056027758,case51
kprod(N1),-0.503485481,case51
kint(R1),-1.835438971,case52
kdeg(R1),-3.640240384,case52
krec4(R1),-3.005854487,case52
k4to11(R1),-3.396163042,case52
krec11(R1),-1.000112931,case52
kint(R2),-3.608376922,case52
kdeg(R2),-3.619897345,case52
krec4(R2),-4.868285122,case52
k4to11(R2),-5.829708941,case52
krec11(R2),-1,case52
kint(N1),-3.840583212,case52
kdeg(N1),-4.802168307,case52
krec4(N1),-1.453938782,case52
k4to11(N1),-2.387830946,case52
krec11(N1),-4.373875293,case52
kprod(R1),0.570811372,case52
kprod(R2),0.055454785,case52
kprod(N1),-0.275978226,case52
kint(R1),-1.803492208,case53
kdeg(R1),-3.638857912,case53
krec4(R1),-3.173627127,case53
k4to11(R1),-3.075922397,case53
krec11(R1),-1,case53
kint(R2),-3.638404361,case53
kdeg(R2),-3.626536278,case53
krec4(R2),-5.740310577,case53
k4to11(R2),-5.655843606,case53
krec11(R2),-1.17804127,case53
kint(N1),-3.095879787,case53
kdeg(N1),-5.49765483,case53
krec4(N1),-1.086790343,case53
k4to11(N1),-1.025327146,case53
krec11(N1),-2.938622926,case53
kprod(R1),0.57244174,case53
kprod(R2),0.044461361,case53
kprod(N1),-0.302718336,case53
kint(R1),-2.112985054,case54
kdeg(R1),-3.645066033,case54
krec4(R1),-3.641227849,case54
k4to11(R1),-3.395881994,case54
krec11(R1),-1.005199101,case54
kint(R2),-3.589729036,case54
kdeg(R2),-3.625838439,case54
krec4(R2),-5.878637159,case54
k4to11(R2),-4.724504369,case54
krec11(R2),-1.235861244,case54
kint(N1),-3.607355798,case54
kdeg(N1),-4.809472213,case54
krec4(N1),-1.422198101,case54
k4to11(N1),-1.000017372,case54
krec11(N1),-3.236317495,case54
kprod(R1),0.564358281,case54
kprod(R2),0.064944426,case54
kprod(N1),-0.55714411,case54
kint(R1),-1.639766439,case55
kdeg(R1),-3.637178365,case55
krec4(R1),-2.80421101,case55
k4to11(R1),-3.116185311,case55
krec11(R1),-1.030374447,case55
kint(R2),-3.634886568,case55
kdeg(R2),-3.627032794,case55
krec4(R2),-5.934607038,case55
k4to11(R2),-5.585728772,case55
krec11(R2),-1.000847701,case55
kint(N1),-3.22775166,case55
kdeg(N1),-5.327089755,case55
krec4(N1),-1.119924192,case55
k4to11(N1),-2.18726708,case55
krec11(N1),-4.0038168,case55
kprod(R1),0.569151438,case55
kprod(R2),0.048441804,case55
kprod(N1),-0.175262548,case55
kint(R1),-1.582096718,case56
kdeg(R1),-3.637178365,case56
krec4(R1),-2.736340265,case56
k4to11(R1),-3.08436804,case56
krec11(R1),-1.000091211,case56
kint(R2),-3.638498812,case56
kdeg(R2),-3.629116983,case56
krec4(R2),-5.66903863,case56
k4to11(R2),-5.695962098,case56
krec11(R2),-1.006440333,case56
kint(N1),-3.181312337,case56
kdeg(N1),-5.925220118,case56
krec4(N1),-1.113988956,case56
k4to11(N1),-2.148625447,case56
krec11(N1),-3.980136286,case56
kprod(R1),0.575245593,case56
kprod(R2),0.04406915,case56
kprod(N1),-0.141571089,case56
kint(R1),-1.320236064,case57
kdeg(R1),-3.636030955,case57
krec4(R1),-2.340635333,case57
k4to11(R1),-3.247206589,case57
krec11(R1),-1,case57
kint(R2),-3.643037689,case57
kdeg(R2),-3.631378456,case57
krec4(R2),-5.999782907,case57
k4to11(R2),-5.999826317,case57
krec11(R2),-1.083698739,case57
kint(N1),-3.871697683,case57
kdeg(N1),-5.574645142,case57
krec4(N1),-1.840553127,case57
k4to11(N1),-3.09064726,case57
krec11(N1),-4.717513838,case57
kprod(R1),0.569724949,case57
kprod(R2),0.043440876,case57
kprod(N1),0.054038211,case57
kint(R1),-1.534587403,case58
kdeg(R1),-3.626591419,case58
krec4(R1),-3.153347489,case58
k4to11(R1),-2.626940804,case58
krec11(R1),-1.132302756,case58
kint(R2),-3.641227849,case58
kdeg(R2),-3.630617138,case58
krec4(R2),-5.873024861,case58
k4to11(R2),-5.82139711,case58
krec11(R2),-1.109618109,case58
kint(N1),-3.146210559,case58
kdeg(N1),-5.994862404,case58
krec4(N1),-1.975678558,case58
k4to11(N1),-1,case58
krec11(N1),-2.58063913,case58
kprod(R1),0.575638076,case58
kprod(R2),0.043715858,case58
kprod(N1),-0.106399118,case58
kint(R1),-2.072814482,case59
kdeg(R1),-3.643649022,case59
krec4(R1),-3.697885623,case59
k4to11(R1),-3.273549915,case59
krec11(R1),-1,case59
kint(R2),-3.578609983,case59
kdeg(R2),-3.627364119,case59
krec4(R2),-4.666794627,case59
k4to11(R2),-5.704015299,case59
krec11(R2),-1.000191132,case59
kint(N1),-3.573651426,case59
kdeg(N1),-5.539432888,case59
krec4(N1),-1.69030597,case59
k4to11(N1),-1,case59
krec11(N1),-3.111253428,case59
kprod(R1),0.556386939,case59
kprod(R2),0.070296518,case59
kprod(N1),-0.517312174,case59
kint(R1),-1.841426444,case60
kdeg(R1),-3.639993868,case60
krec4(R1),-3.070862179,case60
k4to11(R1),-3.278560383,case60
krec11(R1),-1,case60
kint(R2),-3.597429132,case60
kdeg(R2),-3.623076476,case60
krec4(R2),-4.998612477,case60
k4to11(R2),-5.013098445,case60
krec11(R2),-1.272597024,case60
kint(N1),-3.313176113,case60
kdeg(N1),-5.999739501,case60
krec4(N1),-1,case60
k4to11(N1),-1.67321369,case60
krec11(N1),-3.582561524,case60
kprod(R1),0.568354287,case60
kprod(R2),0.058198188,case60
kprod(N1),-0.333687984,case60
kint(R1),-2.034501969,case61
kdeg(R1),-3.64299951,case61
krec4(R1),-3.548121498,case61
k4to11(R1),-3.2748973,case61
krec11(R1),-1,case61
kint(R2),-3.579912167,case61
kdeg(R2),-3.617082865,case61
krec4(R2),-4.735938129,case61
k4to11(R2),-4.96090329,case61
krec11(R2),-1.000477987,case61
kint(N1),-3.523414706,case61
kdeg(N1),-5.787306458,case61
krec4(N1),-1.524285239,case61
k4to11(N1),-1,case61
krec11(N1),-3.031773968,case61
kprod(R1),0.560325165,case61
kprod(R2),0.060546755,case61
kprod(N1),-0.491120293,case61
kint(R1),-1.592490127,case62
kdeg(R1),-3.634231312,case62
krec4(R1),-2.920746378,case62
k4to11(R1),-2.840523044,case62
krec11(R1),-1,case62
kint(R2),-3.638536598,case62
kdeg(R2),-3.634643072,case62
krec4(R2),-5.922486749,case62
k4to11(R2),-5.961062081,case62
krec11(R2),-1.194512735,case62
kint(N1),-2.85983777,case62
kdeg(N1),-5.982173962,case62
krec4(N1),-1.016671462,case62
k4to11(N1),-1,case62
krec11(N1),-2.622183971,case62
kprod(R1),0.569783428,case62
kprod(R2),0.047391702,case62
kprod(N1),-0.16346069,case62
kint(R1),-1.694347739,case63
kdeg(R1),-3.640866784,case63
krec4(R1),-2.874811616,case63
k4to11(R1),-3.190063387,case63
krec11(R1),-1.229560396,case63
kint(R2),-3.640904776,case63
kdeg(R2),-3.628728899,case63
krec4(R2),-5.922813846,case63
k4to11(R2),-5.75352604,case63
krec11(R2),-1.210764887,case63
kint(N1),-3.351093805,case63
kdeg(N1),-4.237478981,case63
krec4(N1),-1,case63
k4to11(N1),-2.050448993,case63
krec11(N1),-4.557488875,case63
kprod(R1),0.576007149,case63
kprod(R2),0.043833654,case63
kprod(N1),-0.221957337,case63
kint(R1),-2.022701754,case64
kdeg(R1),-3.640487039,case64
krec4(R1),-3.648338948,case64
k4to11(R1),-3.232443432,case64
krec11(R1),-1.010212134,case64
kint(R2),-3.57709842,case64
kdeg(R2),-3.615073402,case64
krec4(R2),-4.774535641,case64
k4to11(R2),-4.958054928,case64
krec11(R2),-1.001666541,case64
kint(N1),-3.62670172,case64
kdeg(N1),-5.891807195,case64
krec4(N1),-1.965371543,case64
k4to11(N1),-1.000334536,case64
krec11(N1),-3.038517207,case64
kprod(R1),0.575430335,case64
kprod(R2),0.06595298,case64
kprod(N1),-0.474398098,case64
kint(R1),-1.447611672,case65
kdeg(R1),-3.636068527,case65
krec4(R1),-2.492049727,case65
k4to11(R1),-3.23512179,case65
krec11(R1),-1,case65
kint(R2),-3.64320954,case65
kdeg(R2),-3.631378456,case65
krec4(R2),-6,case65
k4to11(R2),-6,case65
krec11(R2),-1.381596241,case65
kint(N1),-4.859020837,case65
kdeg(N1),-6,case65
krec4(N1),-2.449710483,case65
k4to11(N1),-3.312613746,case65
krec11(N1),-4.09305651,case65
kprod(R1),0.565871421,case65
kprod(R2),0.043283666,case65
kprod(N1),0.144978738,case65
kint(R1),-2.218977442,case66
kdeg(R1),-3.647547338,case66
krec4(R1),-3.691414246,case66
k4to11(R1),-3.617208766,case66
krec11(R1),-1.000004343,case66
kint(R2),-3.565878394,case66
kdeg(R2),-3.621347775,case66
krec4(R2),-5.930627946,case66
k4to11(R2),-4.645257877,case66
krec11(R2),-1.000173753,case66
kint(N1),-3.576623038,case66
kdeg(N1),-5.642046105,case66
krec4(N1),-1.034690092,case66
k4to11(N1),-1.118119127,case66
krec11(N1),-3.334907044,case66
kprod(R1),0.574875873,case66
kprod(R2),0.083108279,case66
kprod(N1),-0.643515219,case66
kint(R1),-1.278074028,case67
kdeg(R1),-3.634287438,case67
krec4(R1),-2.325019514,case67
k4to11(R1),-3.022203257,case67
krec11(R1),-1,case67
kint(R2),-3.638498812,case67
kdeg(R2),-3.629579441,case67
krec4(R2),-5.665687015,case67
k4to11(R2),-5.729717216,case67
krec11(R2),-1.143059752,case67
kint(N1),-4.104400678,case67
kdeg(N1),-6,case67
krec4(N1),-2.072886388,case67
k4to11(N1),-2.911934822,case67
krec11(N1),-4.260348556,case67
kprod(R1),0.571067979,case67
kprod(R2),0.044304519,case67
kprod(N1),0.11082531,case67
kint(R1),-1.898321649,case68
kdeg(R1),-3.642274732,case68
krec4(R1),-3.259818963,case68
k4to11(R1),-3.205268036,case68
krec11(R1),-1.107627093,case68
kint(R2),-3.582329059,case68
kdeg(R2),-3.620495061,case68
krec4(R2),-5.000386694,case68
k4to11(R2),-5.073014821,case68
krec11(R2),-1.002661679,case68
kint(N1),-3.222580428,case68
kdeg(N1),-5.911863911,case68
krec4(N1),-1.000017372,case68
k4to11(N1),-1.156113469,case68
krec11(N1),-3.052228189,case68
kprod(R1),0.569584567,case68
kprod(R2),0.075656434,case68
kprod(N1),-0.380426705,case68
kint(R1),-1.858424817,case69
kdeg(R1),-3.637253711,case69
krec4(R1),-3.510519648,case69
k4to11(R1),-2.97980451,case69
krec11(R1),-1.000017372,case69
kint(R2),-3.591878803,case69
kdeg(R2),-3.61209431,case69
krec4(R2),-4.676149996,case69
k4to11(R2),-5.285502591,case69
krec11(R2),-1.000026058,case69
kint(N1),-3.661105449,case69
kdeg(N1),-4.118775166,case69
krec4(N1),-1.949001921,case69
k4to11(N1),-1.204571884,case69
krec11(N1),-3.041651167,case69
kprod(R1),0.559056347,case69
kprod(R2),0.053961507,case69
kprod(N1),-0.306730444,case69
kint(R1),-1.41956545,case70
kdeg(R1),-3.634287438,case70
krec4(R1),-2.503153346,case70
k4to11(R1),-3.00833542,case70
krec11(R1),-1,case70
kint(R2),-3.643228638,case70
kdeg(R2),-3.631378456,case70
krec4(R2),-6,case70
k4to11(R2),-6,case70
krec11(R2),-1.525026567,case70
kint(N1),-5.002369012,case70
kdeg(N1),-6,case70
krec4(N1),-2.67945908,case70
k4to11(N1),-3.1912153,case70
krec11(N1),-3.444252786,case70
kprod(R1),0.562732885,case70
kprod(R2),0.043244354,case70
kprod(N1),0.197335703,case70
kint(R1),-1.619173943,case71
kdeg(R1),-3.634980257,case71
krec4(R1),-2.944239535,case71
k4to11(R1),-2.878965698,case71
krec11(R1),-1.002749081,case71
kint(R2),-3.605250719,case71
kdeg(R2),-3.625343287,case71
krec4(R2),-5.9996961,case71
k4to11(R2),-4.882662405,case71
krec11(R2),-1.006149514,case71
kint(N1),-3.029244131,case71
kdeg(N1),-5.083667144,case71
krec4(N1),-1.144426334,case71
k4to11(N1),-1.150654306,case71
krec11(N1),-2.779656515,case71
kprod(R1),0.57134774,case71
kprod(R2),0.059828382,case71
kprod(N1),-0.1730316,case71
kint(R1),-2.072208893,case72
kdeg(R1),-3.643190442,case72
krec4(R1),-3.723607137,case72
k4to11(R1),-3.283162277,case72
krec11(R1),-1,case72
kint(R2),-3.536644615,case72
kdeg(R2),-3.626462769,case72
krec4(R2),-4.700253067,case72
k4to11(R2),-4.709208817,case72
krec11(R2),-1,case72
kint(N1),-3.66330017,case72
kdeg(N1),-6,case72
krec4(N1),-1.700667064,case72
k4to11(N1),-1.000199821,case72
krec11(N1),-3.167938385,case72
kprod(R1),0.567955163,case72
kprod(R2),0.086466611,case72
kprod(N1),-0.523588673,case72
kint(R1),-1.834755674,case73
kdeg(R1),-3.63948232,case73
krec4(R1),-3.153162068,case73
k4to11(R1),-3.15358247,case73
krec11(R1),-1.017588549,case73
kint(R2),-3.539012002,case73
kdeg(R2),-3.608094993,case73
krec4(R2),-4.615413639,case73
k4to11(R2),-4.664261353,case73
krec11(R2),-1.000021715,case73
kint(N1),-3.093896716,case73
kdeg(N1),-5.998699067,case73
krec4(N1),-1.004759798,case73
k4to11(N1),-1,case73
krec11(N1),-2.855052366,case73
kprod(R1),0.704425083,case73
kprod(R2),0.23299611,case73
kprod(N1),0.57285999,case73
kint(R1),-1.921072166,case74
kdeg(R1),-3.639236234,case74
krec4(R1),-3.635261445,case74
k4to11(R1),-3.061350206,case74
krec11(R1),-1,case74
kint(R2),-3.555799011,case74
kdeg(R2),-3.616148743,case74
krec4(R2),-5.07450742,case74
k4to11(R2),-4.562423824,case74
krec11(R2),-1.551571965,case74
kint(N1),-3.504178247,case74
kdeg(N1),-6,case74
krec4(N1),-1.950704432,case74
k4to11(N1),-1.001884578,case74
krec11(N1),-2.996884283,case74
kprod(R1),0.571324433,case74
kprod(R2),0.074487305,case74
kprod(N1),-0.388669752,case74
kint(R1),-1.484961122,case75
kdeg(R1),-3.635130201,case75
krec4(R1),-2.642427216,case75
k4to11(R1),-2.941004906,case75
krec11(R1),-1,case75
kint(R2),-3.610568102,case75
kdeg(R2),-3.621002859,case75
krec4(R2),-4.916461549,case75
k4to11(R2),-5.376771391,case75
krec11(R2),-1.207524262,case75
kint(N1),-3.040772521,case75
kdeg(N1),-5.559752304,case75
krec4(N1),-1.035825256,case75
k4to11(N1),-1.858644308,case75
krec11(N1),-3.4939823,case75
kprod(R1),0.572255722,case75
kprod(R2),0.050998079,case75
kprod(N1),-0.097089196,case75
kint(R1),-1.454890898,case76
kdeg(R1),-3.635373971,case76
krec4(R1),-2.56514379,case76
k4to11(R1),-3.034723022,case76
krec11(R1),-1.008428399,case76
kint(R2),-3.596673538,case76
kdeg(R2),-3.614715545,case76
krec4(R2),-4.86157098,case76
k4to11(R2),-5.131725957,case76
krec11(R2),-1.002211839,case76
kint(N1),-3.012816553,case76
kdeg(N1),-5.867708284,case76
krec4(N1),-1.104820639,case76
k4to11(N1),-2.47298912,case76
krec11(N1),-4.605968808,case76
kprod(R1),0.576583198,case76
kprod(R2),0.057285644,case76
kprod(N1),-0.061045198,case76
kint(R1),-1.630672799,case77
kdeg(R1),-3.635711724,case77
krec4(R1),-2.854896867,case77
k4to11(R1),-2.994347685,case77
krec11(R1),-1.000034745,case77
kint(R2),-3.642732345,case77
kdeg(R2),-3.628691956,case77
krec4(R2),-6,case77
k4to11(R2),-6,case77
krec11(R2),-1.049352849,case77
kint(N1),-5.552935042,case77
kdeg(N1),-6,case77
krec4(N1),-2.816018781,case77
k4to11(N1),-3.224819327,case77
krec11(N1),-3.888401475,case77
kprod(R1),0.567096977,case77
kprod(R2),0.043794392,case77
kprod(N1),0.178343739,case77
kint(R1),-1.145657515,case78
kdeg(R1),-3.632681359,case78
krec4(R1),-2.227377619,case78
k4to11(R1),-2.748532125,case78
krec11(R1),-1,case78
kint(R2),-3.628895178,case78
kdeg(R2),-3.630914079,case78
krec4(R2),-5.508708359,case78
k4to11(R2),-5.438230984,case78
krec11(R2),-1.000304113,case78
kint(N1),-3.870406772,case78
kdeg(N1),-6,case78
krec4(N1),-2.016743675,case78
k4to11(N1),-2.448342664,case78
krec11(N1),-3.489884135,case78
kprod(R1),0.577043487,case78
kprod(R2),0.048946504,case78
kprod(N1),0.131426172,case78
kint(R1),-1.493183902,case79
kdeg(R1),-3.632867808,case79
krec4(R1),-2.640980772,case79
k4to11(R1),-2.963530801,case79
krec11(R1),-1.138435721,case79
kint(R2),-3.595063706,case79
kdeg(R2),-3.609170831,case79
krec4(R2),-4.985563472,case79
k4to11(R2),-4.887763769,case79
krec11(R2),-1.000034745,case79
kint(N1),-3.902569146,case79
kdeg(N1),-3.946959991,case79
krec4(N1),-1.599427476,case79
k4to11(N1),-2.146989661,case79
krec11(N1),-3.83088422,case79
kprod(R1),0.572209205,case79
kprod(R2),0.055836851,case79
kprod(N1),-0.021979347,case79
kint(R1),-2.013290952,case80
kdeg(R1),-3.641284886,case80
krec4(R1),-3.57227052,case80
k4to11(R1),-3.197643671,case80
krec11(R1),-1.000017372,case80
kint(R2),-3.598582226,case80
kdeg(R2),-3.622402374,case80
krec4(R2),-5.883159898,case80
k4to11(R2),-4.735182177,case80
krec11(R2),-1.005559661,case80
kint(N1),-3.418448542,case80
kdeg(N1),-4.064986761,case80
krec4(N1),-1.655057837,case80
k4to11(N1),-1.020574556,case80
krec11(N1),-2.909847799,case80
kprod(R1),0.54740546,case80
kprod(R2),0.057133367,case80
kprod(N1),-0.424869911,case80
kint(R1),-1.583392773,case81
kdeg(R1),-3.63432486,case81
krec4(R1),-2.771086594,case81
k4to11(R1),-2.989700043,case81
krec11(R1),-1.043543417,case81
kint(R2),-3.596827985,case81
kdeg(R2),-3.625196683,case81
krec4(R2),-5.025884557,case81
k4to11(R2),-5.153124993,case81
krec11(R2),-1.000991322,case81
kint(N1),-3.239585056,case81
kdeg(N1),-5.360174973,case81
krec4(N1),-1.000838998,case81
k4to11(N1),-1.67592342,case81
krec11(N1),-3.583875628,case81
kprod(R1),0.567720212,case81
kprod(R2),0.064233296,case81
kprod(N1),-0.173627127,case81
kint(R1),-1.83176777,case82
kdeg(R1),-3.638574387,case82
krec4(R1),-3.18164872,case82
k4to11(R1),-3.128100299,case82
krec11(R1),-1.000082524,case82
kint(R2),-3.615646586,case82
kdeg(R2),-3.626315787,case82
krec4(R2),-5.396282001,case82
k4to11(R2),-5.188478614,case82
krec11(R2),-1.002530609,case82
kint(N1),-3.351064564,case82
kdeg(N1),-5.262743729,case82
krec4(N1),-1.227157745,case82
k4to11(N1),-1.000004343,case82
krec11(N1),-3.215218719,case82
kprod(R1),0.572220834,case82
kprod(R2),0.055684065,case82
kprod(N1),-0.340055291,case82
kint(R1),-1.007437646,case83
kdeg(R1),-3.635430245,case83
krec4(R1),-1.973425882,case83
k4to11(R1),-3.439627028,case83
krec11(R1),-1.0198875,case83
kint(R2),-3.643152249,case83
kdeg(R2),-3.631322705,case83
krec4(R2),-6,case83
k4to11(R2),-6,case83
krec11(R2),-1.371549762,case83
kint(N1),-4.341912251,case83
kdeg(N1),-6,case83
krec4(N1),-2.594329278,case83
k4to11(N1),-3.913675769,case83
krec11(N1),-3.928412529,case83
kprod(R1),0.562185765,case83
kprod(R2),0.043362278,case83
kprod(N1),0.276576682,case83
kint(R1),-1.41553308,case84
kdeg(R1),-3.636087314,case84
krec4(R1),-2.460961558,case84
k4to11(R1),-3.179640883,case84
krec11(R1),-1,case84
kint(R2),-3.640790808,case84
kdeg(R2),-3.632681359,case84
krec4(R2),-5.994776575,case84
k4to11(R2),-5.9996961,case84
krec11(R2),-1.012190781,case84
kint(N1),-4.966455624,case84
kdeg(N1),-6,case84
krec4(N1),-3.054309893,case84
k4to11(N1),-3.775544636,case84
krec11(N1),-2.970900433,case84
kprod(R1),0.564949979,case84
kprod(R2),0.045674967,case84
kprod(N1),0.302244321,case84
kint(R1),-1.70333481,case85
kdeg(R1),-3.636312824,case85
krec4(R1),-3.280909133,case85
k4to11(R1),-2.836600067,case85
krec11(R1),-1.036727022,case85
kint(R2),-3.537572052,case85
kdeg(R2),-3.624244965,case85
krec4(R2),-4.739570824,case85
k4to11(R2),-4.777231521,case85
krec11(R2),-1,case85
kint(N1),-3.214186303,case85
kdeg(N1),-5.78214772,case85
krec4(N1),-1.635636645,case85
k4to11(N1),-1.020560896,case85
krec11(N1),-2.721200686,case85
kprod(R1),0.57092803,case85
kprod(R2),0.093071306,case85
kprod(N1),-0.224040218,case85
kint(R1),-1.511251922,case86
kdeg(R1),-3.637366755,case86
krec4(R1),-2.562423824,case86
k4to11(R1),-3.303320414,case86
krec11(R1),-1,case86
kint(R2),-3.64299951,case86
kdeg(R2),-3.63126696,case86
krec4(R2),-6,case86
k4to11(R2),-6,case86
krec11(R2),-1.733180545,case86
kint(N1),-5.229619343,case86
kdeg(N1),-6,case86
krec4(N1),-3.009541265,case86
k4to11(N1),-3.796396048,case86
krec11(N1),-1.801837961,case86
kprod(R1),0.566732029,case86
kprod(R2),0.04348017,case86
kprod(N1),0.276645594,case86
kint(R1),-2.251842995,case87
kdeg(R1),-3.643725499,case87
krec4(R1),-3.957857817,case87
k4to11(R1),-3.554411363,case87
krec11(R1),-1.070187833,case87
kint(R2),-3.622020241,case87
kdeg(R2),-3.620893995,case87
krec4(R2),-5.383073097,case87
k4to11(R2),-5.94435414,case87
krec11(R2),-1.007742593,case87
kint(N1),-4.190231605,case87
kdeg(N1),-4.792123378,case87
krec4(N1),-1.335076107,case87
k4to11(N1),-2.179194496,case87
krec11(N1),-4.274415028,case87
kprod(R1),0.569900363,case87
kprod(R2),0.058691683,case87
kprod(N1),-0.632588165,case87
kint(R1),-1.366571946,case88
kdeg(R1),-3.634905305,case88
krec4(R1),-2.409704441,case88
k4to11(R1),-3.124325367,case88
krec11(R1),-1,case88
kint(R2),-3.640316263,case88
kdeg(R2),-3.633464981,case88
krec4(R2),-6,case88
k4to11(R2),-5.999956573,case88
krec11(R2),-1,case88
kint(N1),-4.895615329,case88
kdeg(N1),-6,case88
krec4(N1),-3.053130345,case88
k4to11(N1),-3.842996803,case88
krec11(N1),-3.10959575,case88
kprod(R1),0.565729788,case88
kprod(R2),0.046182891,case88
kprod(N1),0.31302311,case88
kint(R1),-1.010381125,case89
kdeg(R1),-3.635430245,case89
krec4(R1),-1.972242795,case89
k4to11(R1),-3.670134514,case89
krec11(R1),-1.30400203,case89
kint(R2),-3.64299951,case89
kdeg(R2),-3.631527162,case89
krec4(R2),-6,case89
k4to11(R2),-6,case89
krec11(R2),-1.408590322,case89
kint(N1),-4.318948808,case89
kdeg(N1),-6,case89
krec4(N1),-2.627806281,case89
k4to11(N1),-3.983509868,case89
krec11(N1),-3.767664723,case89
kprod(R1),0.564026577,case89
kprod(R2),0.04348017,case89
kprod(N1),0.285872227,case89
kint(R1),-1.245238975,case90
kdeg(R1),-3.635599111,case90
krec4(R1),-2.254480207,case90
k4to11(R1),-3.195431258,case90
krec11(R1),-1,case90
kint(R2),-3.64320954,case90
kdeg(R2),-3.631378456,case90
krec4(R2),-6,case90
k4to11(R2),-6,case90
krec11(R2),-1.599134039,case90
kint(N1),-4.704696855,case90
kdeg(N1),-6,case90
krec4(N1),-2.869666232,case90
k4to11(N1),-4.10405286,case90
krec11(N1),-1,case90
kprod(R1),0.565895022,case90
kprod(R2),0.043283666,case90
kprod(N1),0.30100828,case90
kint(R1),-2.016689514,case91
kdeg(R1),-3.64238909,case91
krec4(R1),-3.553866871,case91
k4to11(R1),-3.240400137,case91
krec11(R1),-1,case91
kint(R2),-3.503374741,case91
kdeg(R2),-3.596347665,case91
krec4(R2),-4.455758273,case91
k4to11(R2),-4.447453452,case91
krec11(R2),-1,case91
kint(N1),-3.536689446,case91
kdeg(N1),-5.894115291,case91
krec4(N1),-1.483795265,case91
k4to11(N1),-1.015832873,case91
krec11(N1),-3.034299829,case91
kprod(R1),0.561935763,case91
kprod(R2),0.079904468,case91
kprod(N1),-0.479162887,case91
kint(R1),-1.588312967,case92
kdeg(R1),-3.63503648,case92
krec4(R1),-2.768912879,case92
k4to11(R1),-2.984095622,case92
krec11(R1),-1,case92
kint(R2),-3.639501256,case92
kdeg(R2),-3.634811632,case92
krec4(R2),-5.999782907,case92
k4to11(R2),-5.995334767,case92
krec11(R2),-1.048686771,case92
kint(N1),-4.986699213,case92
kdeg(N1),-6,case92
krec4(N1),-3.418425778,case92
k4to11(N1),-3.609630197,case92
krec11(N1),-1.393661636,case92
kprod(R1),0.558936455,case92
kprod(R2),0.046924174,case92
kprod(N1),0.316243005,case92
kint(R1),-1.165744652,case93
kdeg(R1),-3.636237641,case93
krec4(R1),-2.149629498,case93
k4to11(R1),-3.380990196,case93
krec11(R1),-1.000986969,case93
kint(R2),-3.635749269,case93
kdeg(R2),-3.636463229,case93
krec4(R2),-5.896709528,case93
k4to11(R2),-5.908860846,case93
krec11(R2),-1.058369327,case93
