kR1N1,values
-0.779891912,0.0037971
-1.113227357,0.0037969
-1.446553914,0.0037968
-1.779891912,0.0037962
-2.113227357,0.0037951
-2.446553914,3.56E-03
-2.779891912,3.38E-03
-3.113227357,0.003035
-3.446553914,0.0024955
-3.779891912,0.00181
-4.113227357,0.001144
-4.446553914,0.0006458
-4.779891912,0.00034175
-5.113227357,0.00017885
-5.446553914,0.00009768
-5.779891912,0.000058698
-6.113227357,0.000040315
-6.446553914,0.000031717
-6.779891912,0.000027713
