Time,TotalRecExp,TotalRecComp,sd,RecType
0,100,100,,VEGFR2
5,,99.898,,VEGFR2
10,,99.797,,VEGFR2
15,,99.696,,VEGFR2
20,,99.594,,VEGFR2
25,,99.493,,VEGFR2
30,87,99.392,2,VEGFR2
35,,99.291,,VEGFR2
40,,99.19,,VEGFR2
45,,99.09,,VEGFR2
50,,98.989,,VEGFR2
55,,98.889,,VEGFR2
60,60,98.788,2,VEGFR2
65,,98.688,,VEGFR2
70,,98.588,,VEGFR2
75,,98.487,,VEGFR2
80,,98.387,,VEGFR2
85,,98.288,,VEGFR2
90,59,98.188,7,VEGFR2
95,,98.088,,VEGFR2
100,,97.989,,VEGFR2
105,,97.889,,VEGFR2
110,,97.79,,VEGFR2
115,,97.69,,VEGFR2
120,40,97.591,2,VEGFR2
125,,97.492,,VEGFR2
130,,97.393,,VEGFR2
135,,97.294,,VEGFR2
140,,97.195,,VEGFR2
145,,97.097,,VEGFR2
150,,96.998,,VEGFR2
155,,96.9,,VEGFR2
160,,96.801,,VEGFR2
165,,96.703,,VEGFR2
170,,96.605,,VEGFR2
175,,96.507,,VEGFR2
180,,96.409,,VEGFR2
185,,96.311,,VEGFR2
190,,96.213,,VEGFR2
195,,96.116,,VEGFR2
200,,96.018,,VEGFR2
205,,95.921,,VEGFR2
210,,95.823,,VEGFR2
215,,95.726,,VEGFR2
220,,95.629,,VEGFR2
225,,95.532,,VEGFR2
230,,95.435,,VEGFR2
235,,95.338,,VEGFR2
240,9,95.241,7,VEGFR2
0,100,100,0,VEGFR1
5,,98.998,,VEGFR1
10,,98.005,,VEGFR1
15,,97.021,,VEGFR1
20,,96.048,,VEGFR1
25,,95.085,,VEGFR1
30,80,94.131,3,VEGFR1
35,,93.188,,VEGFR1
40,,92.254,,VEGFR1
45,,91.329,,VEGFR1
50,,90.414,,VEGFR1
55,,89.509,,VEGFR1
60,35,88.612,3,VEGFR1
65,,87.725,,VEGFR1
70,,86.847,,VEGFR1
75,,85.978,,VEGFR1
80,,85.118,,VEGFR1
85,,84.266,,VEGFR1
90,29,83.423,2,VEGFR1
95,,82.589,,VEGFR1
100,,81.763,,VEGFR1
105,,80.946,,VEGFR1
110,,80.137,,VEGFR1
115,,79.336,,VEGFR1
120,20,78.543,2,VEGFR1
125,,77.758,,VEGFR1
130,,76.981,,VEGFR1
135,,76.212,,VEGFR1
140,,75.451,,VEGFR1
145,,74.697,,VEGFR1
150,,73.951,,VEGFR1
155,,73.213,,VEGFR1
160,,72.482,,VEGFR1
165,,71.759,,VEGFR1
170,,71.042,,VEGFR1
175,,70.333,,VEGFR1
180,,69.631,,VEGFR1
185,,68.936,,VEGFR1
190,,68.249,,VEGFR1
195,,67.568,,VEGFR1
200,,66.894,,VEGFR1
205,,66.226,,VEGFR1
210,,65.566,,VEGFR1
215,,64.912,,VEGFR1
220,,64.264,,VEGFR1
225,,63.623,,VEGFR1
230,,62.989,,VEGFR1
235,,62.361,,VEGFR1
240,15,61.739,1,VEGFR1
0,100,100,,NRP1
5,,98.848,,NRP1
10,,97.709,,NRP1
15,,96.584,,NRP1
20,,95.471,,NRP1
25,,94.371,,NRP1
30,95,93.284,15,NRP1
35,,92.209,,NRP1
40,,91.147,,NRP1
45,,90.097,,NRP1
50,,89.059,,NRP1
55,,88.033,,NRP1
60,111,87.019,18,NRP1
65,,86.017,,NRP1
70,,85.026,,NRP1
75,,84.046,,NRP1
80,,83.078,,NRP1
85,,82.121,,NRP1
90,104,81.175,19,NRP1
95,,80.24,,NRP1
100,,79.315,,NRP1
105,,78.402,,NRP1
110,,77.498,,NRP1
115,,76.606,,NRP1
120,105,75.723,7,NRP1
125,,74.851,,NRP1
130,,73.988,,NRP1
135,,73.136,,NRP1
140,,72.293,,NRP1
145,,71.46,,NRP1
150,,70.637,,NRP1
155,,69.823,,NRP1
160,,69.019,,NRP1
165,,68.224,,NRP1
170,,67.438,,NRP1
175,,66.661,,NRP1
180,,65.893,,NRP1
185,,65.134,,NRP1
190,,64.383,,NRP1
195,,63.641,,NRP1
200,,62.908,,NRP1
205,,62.183,,NRP1
210,,61.467,,NRP1
215,,60.759,,NRP1
220,,60.059,,NRP1
225,,59.367,,NRP1
230,,58.683,,NRP1
235,,58.006,,NRP1
240,101,57.338,10,NRP1
