kR1N1,wcvalues,rabvalues,ratiovalues
-0.779891912,91.94,84.446,0.91849
-1.113227357,91.941,84.814,0.92249
-1.446553914,91.892,85.541,0.93089
-1.779891912,91.936,87.155,0.948
-2.113227357,91.926,90.193,0.98115
-2.446553914,90.983,94.115,1.0344
-2.779891912,90.217,100.55,1.1145
-3.113227357,88.818,107.15,1.2065
-3.446553914,86.607,110.87,1.2801
-3.779891912,83.798,109.04,1.3012
-4.113227357,81.069,101.49,1.2519
-4.446553914,79.028,91.247,1.1546
-4.779891912,77.782,82.381,1.0591
-5.113227357,77.115,76.618,0.99356
-5.446553914,76.782,73.45,0.95661
-5.779891912,76.622,71.854,0.93777
-6.113227357,76.547,71.085,0.92864
-6.446553914,76.512,70.721,0.92432
-6.779891912,76.495,70.551,0.92229
